Date,Time,Source,Source_port,Destination,Dest_Port,Protocol,Service,Policy_ID,State,Action,Duration,Bytes,Packets,Attack
2025-01-01,00:06:53,192.168.183.231,8108,210.42.247.80,110,tcp,pop3,POL-484,ESTABLISHED,allow,2.701,1366,2,benign
2025-01-01,00:07:05,172.29.154.206,38112,207.31.204.252,80,tcp,http,POL-618,ESTABLISHED,allow,14.316,24351,32,exfiltration
2025-01-01,00:07:25,172.26.43.92,12567,118.182.40.112,143,tcp,imap,POL-651,ESTABLISHED,allow,3.657,1361,1,benign
2025-01-01,00:07:40,10.212.170.202,50207,72.226.116.63,27017,tcp,mongodb,POL-606,ESTABLISHED,allow,16.41,5709,6,benign
2025-01-01,00:07:50,172.30.21.203,63156,71.143.3.133,53,udp,dns,POL-837,CLOSED,allow,0.138,357,1,benign
2025-01-01,00:08:03,172.23.43.186,46360,24.76.57.104,53,udp,dns,POL-695,CLOSED,allow,0.188,403,1,benign
2025-01-01,00:08:14,141.85.91.180,48294,79.65.60.31,3306,tcp,mysql,POL-383,SYN_ACK,allow,0.264,694,2,benign
2025-01-01,00:08:32,214.50.76.59,9319,78.4.182.137,80,udp,mysql,POL-753,CLOSED,deny,0.031,115,1,ddos
2025-01-01,00:08:47,172.21.115.137,32332,14.65.241.221,80,tcp,http,POL-744,ESTABLISHED,allow,21.22,5158,19,benign
2025-01-01,00:08:48,10.30.82.216,41552,107.156.153.203,5432,tcp,postgres,POL-404,ESTABLISHED,allow,1.357,840,1,benign
2025-01-01,00:09:06,192.168.25.104,44305,54.161.55.68,80,tcp,smtp,POL-708,ESTABLISHED,deny,2.293,921,2,ddos
2025-01-01,00:09:21,172.17.35.142,39676,68.202.203.161,53,udp,dns,POL-535,CLOSED,allow,0.019,451,1,benign
2025-01-01,00:09:24,10.15.68.113,38327,79.153.192.212,25,tcp,redis,POL-816,ESTABLISHED,deny,1.934,476,1,benign
2025-01-01,00:09:36,192.168.10.53,2719,189.83.155.65,443,tcp,https,POL-881,ESTABLISHED,allow,3.588,18656,21,exfiltration
2025-01-01,00:09:41,192.168.111.151,23827,126.249.24.121,6379,tcp,redis,POL-437,ESTABLISHED,allow,5.181,2456,4,benign
2025-01-01,00:09:54,192.168.9.101,64606,81.65.83.30,25,tcp,smtp,POL-990,ESTABLISHED,allow,13.802,2539,3,benign
2025-01-01,00:10:11,172.26.1.173,9610,14.53.69.141,80,tcp,http,POL-129,ESTABLISHED,deny,2.086,246,1,benign
2025-01-01,00:10:31,10.141.96.90,31265,58.216.234.30,53,udp,dns,POL-952,CLOSED,deny,0.34,156,1,benign
2025-01-01,00:10:35,172.29.91.8,10503,121.63.117.142,27017,tcp,mongodb,POL-984,ESTABLISHED,allow,3.771,1620,1,benign
2025-01-01,00:10:37,172.29.32.249,55908,192.168.76.111,143,tcp,imap,POL-651,ESTABLISHED,allow,11.534,2815,3,benign
2025-01-01,00:10:52,172.29.233.228,16330,179.62.147.99,3306,tcp,mysql,POL-822,ESTABLISHED,allow,2.07,2120,3,benign
2025-01-01,00:11:04,10.126.205.220,22781,33.129.248.152,6379,tcp,redis,POL-115,ESTABLISHED,allow,10.906,2296,3,benign
2025-01-01,00:11:08,172.21.106.192,22556,102.167.21.219,6379,tcp,redis,POL-835,ESTABLISHED,allow,5.137,2208,2,benign
2025-01-01,00:11:23,192.168.235.195,65140,59.192.24.112,22,tcp,ssh,POL-400,SYN_ACK,deny,0.535,205,1,brute_force
2025-01-01,00:11:34,192.168.202.227,26094,45.21.157.223,22,tcp,ssh,POL-337,SYN_SENT,allow,0.025,315,1,benign
2025-01-01,00:11:48,172.30.107.91,62970,140.41.19.114,3389,tcp,rdp,POL-806,ESTABLISHED,allow,5.277,1517,1,benign
2025-01-01,00:11:56,172.17.180.219,46851,147.92.148.76,25,tcp,smtp,POL-985,ESTABLISHED,allow,6.227,1818,2,benign
2025-01-01,00:11:57,74.199.205.59,41714,91.57.163.49,53,udp,dns,POL-797,CLOSED,allow,0.21,244,1,dns_tunnel
2025-01-01,00:12:01,172.16.136.170,20364,188.34.24.233,6379,tcp,redis,POL-652,ESTABLISHED,allow,5.359,1649,2,benign
2025-01-01,00:12:12,172.31.122.104,8571,192.223.87.206,25,tcp,smtp,POL-980,ESTABLISHED,allow,1.541,1257,4,benign
2025-01-01,00:12:24,10.67.179.143,45086,117.95.173.192,80,tcp,http,POL-339,ESTABLISHED,allow,18.062,39713,46,exfiltration
2025-01-01,00:12:39,192.168.16.47,43572,119.233.180.78,3306,tcp,mysql,POL-604,ESTABLISHED,allow,7.919,2336,6,benign
2025-01-01,00:12:42,192.168.178.77,11150,108.151.191.187,9200,tcp,mysql,POL-517,ESTABLISHED,allow,4.301,1332,1,benign
2025-01-01,00:12:50,10.218.254.201,65107,176.95.140.231,110,tcp,pop3,POL-225,ESTABLISHED,allow,1.648,1223,4,benign
2025-01-01,00:13:04,10.12.242.183,38024,63.254.33.202,53,udp,dns,POL-312,CLOSED,allow,0.207,525,1,benign
2025-01-01,00:13:22,192.168.0.186,17450,38.253.34.139,53,udp,dns,POL-776,CLOSED,allow,0.663,1078,3,benign
2025-01-01,00:13:22,172.16.64.164,35501,14.33.190.108,110,tcp,pop3,POL-625,ESTABLISHED,allow,1.744,1798,6,benign
2025-01-01,00:13:40,192.168.200.130,43185,169.134.78.118,3306,tcp,mysql,POL-210,FIN_WAIT,deny,0.929,175,1,benign
2025-01-01,00:13:55,10.16.208.142,47695,160.163.150.141,8443,tcp,rdp,POL-719,ESTABLISHED,allow,13.756,4002,4,benign
2025-01-01,00:14:08,10.110.25.17,30744,59.106.87.212,21,tcp,mongodb,POL-361,ESTABLISHED,allow,4.773,2023,6,benign
2025-01-01,00:14:19,10.23.221.238,9551,191.190.96.208,80,tcp,http,POL-781,ESTABLISHED,allow,6.75,13805,15,exfiltration
2025-01-01,00:14:32,172.17.168.90,15720,55.40.169.124,3389,tcp,rdp,POL-331,ESTABLISHED,deny,6.061,313,1,brute_force
2025-01-01,00:14:45,10.155.231.24,12847,213.178.69.8,633,tcp,postgres,POL-679,ESTABLISHED,allow,8.307,99,1,port_scan
2025-01-01,00:14:57,192.168.135.206,25275,108.117.88.41,27017,tcp,mongodb,POL-186,ESTABLISHED,allow,12.223,3639,6,benign
2025-01-01,00:14:58,192.168.108.141,50499,114.107.70.56,8443,tcp,postgres,POL-794,ESTABLISHED,allow,5.249,2234,4,benign
2025-01-01,00:15:16,192.168.14.7,14867,172.31.32.13,6379,tcp,redis,POL-609,ESTABLISHED,allow,2.355,1528,3,benign
2025-01-01,00:15:29,192.168.213.87,49654,91.19.102.221,143,tcp,imap,POL-420,ESTABLISHED,allow,4.317,1875,8,benign
2025-01-01,00:15:47,10.103.176.51,53539,172.18.191.255,143,tcp,imap,POL-190,ESTABLISHED,deny,1.688,213,1,benign
2025-01-01,00:16:00,10.101.80.248,52084,191.87.57.86,234,tcp,dns,POL-760,FIN_WAIT,deny,0.155,40,1,port_scan
2025-01-01,00:16:04,10.194.157.121,42177,20.46.244.198,22,tcp,ssh,POL-678,ESTABLISHED,allow,7.348,2195,2,benign
2025-01-01,00:16:24,81.39.113.18,39783,162.78.204.71,5432,tcp,postgres,POL-138,ESTABLISHED,allow,4.876,4596,6,benign
2025-01-01,00:16:25,192.168.98.110,59736,142.245.203.190,8443,tcp,smtp,POL-587,ESTABLISHED,allow,6.475,1471,1,benign
2025-01-01,00:16:41,172.31.183.218,17260,130.166.45.11,80,tcp,http,POL-472,ESTABLISHED,allow,1.579,1287,1,benign
2025-01-01,00:16:52,192.168.13.104,7217,166.86.17.85,53,udp,dns,POL-390,CLOSED,allow,0.016,192,1,dns_tunnel
2025-01-01,00:17:00,10.85.87.55,61103,192.168.36.53,6379,tcp,redis,POL-186,FIN_WAIT,allow,0.952,1305,1,benign
2025-01-01,00:17:09,192.168.179.237,7148,190.176.234.135,6379,tcp,redis,POL-416,ESTABLISHED,allow,1.44,2139,3,benign
2025-01-01,00:17:14,10.255.254.120,7652,20.76.217.202,443,tcp,https,POL-234,ESTABLISHED,allow,1.642,11249,12,exfiltration
2025-01-01,00:17:33,192.168.207.30,24898,185.113.12.106,22,tcp,ssh,POL-870,ESTABLISHED,allow,6.695,4840,10,benign
2025-01-01,00:17:47,172.30.118.174,29898,95.174.243.147,53,udp,dns,POL-896,CLOSED,allow,0.057,516,1,benign
2025-01-01,00:17:59,192.168.35.111,25351,14.165.124.224,143,tcp,imap,POL-227,ESTABLISHED,allow,7.091,2752,9,benign
2025-01-01,00:18:08,38.213.112.24,23934,57.210.116.227,22,tcp,ssh,POL-495,SYN_ACK,deny,0.515,197,1,benign
2025-01-01,00:18:10,192.168.166.100,61146,38.36.10.74,80,tcp,http,POL-730,ESTABLISHED,allow,3.207,1537,4,benign
2025-01-01,00:18:10,192.168.240.179,19905,136.109.29.199,22,tcp,ssh,POL-164,ESTABLISHED,deny,4.784,288,1,brute_force
2025-01-01,00:18:13,192.168.147.55,41316,37.75.110.1,854,tcp,rdp,POL-638,SYN_ACK,deny,0.232,40,1,port_scan
2025-01-01,00:18:30,172.16.178.82,24426,96.65.192.5,3306,tcp,mysql,POL-206,ESTABLISHED,allow,9.707,1933,3,benign
2025-01-01,00:18:48,192.168.44.211,32385,176.119.252.179,53,tcp,pop3,POL-137,SYN_ACK,allow,0.889,1014,3,benign
2025-01-01,00:18:57,172.24.63.3,3423,209.140.122.65,53,udp,dns,POL-392,CLOSED,allow,0.176,434,1,benign
2025-01-01,00:19:08,10.204.161.181,63707,103.191.113.230,22,tcp,ssh,POL-373,ESTABLISHED,deny,4.284,650,1,brute_force
2025-01-01,00:19:10,47.140.76.83,30247,84.170.76.79,443,tcp,https,POL-557,ESTABLISHED,allow,3.944,1322,2,benign
2025-01-01,00:19:11,192.168.250.228,27645,15.20.172.164,110,tcp,pop3,POL-969,ESTABLISHED,allow,2.44,1605,1,benign
2025-01-01,00:19:30,192.168.93.200,45527,146.9.155.40,8443,tcp,rdp,POL-687,ESTABLISHED,allow,1.921,1105,1,benign
2025-01-01,00:19:34,10.6.162.66,37833,128.133.100.234,143,tcp,imap,POL-810,FIN_WAIT,allow,0.118,382,1,benign
2025-01-01,00:19:49,192.168.113.243,21968,208.175.248.217,22,tcp,ssh,POL-407,ESTABLISHED,allow,5.966,2918,10,benign
2025-01-01,00:19:54,192.168.57.104,52821,52.203.36.61,27017,tcp,mongodb,POL-922,ESTABLISHED,allow,10.497,3750,6,benign
2025-01-01,00:20:11,185.123.135.106,64749,211.148.19.33,1433,tcp,https,POL-231,FIN_WAIT,allow,0.977,1216,4,benign
2025-01-01,00:20:28,192.168.233.37,20955,213.32.133.40,22,tcp,ssh,POL-631,ESTABLISHED,allow,8.221,2539,4,benign
2025-01-01,00:20:37,71.33.161.78,39808,24.129.165.44,316,tcp,smtp,POL-962,ESTABLISHED,deny,7.49,40,1,port_scan
2025-01-01,00:20:55,192.168.106.166,36778,8.128.228.161,25,tcp,http,POL-801,ESTABLISHED,allow,13.351,3006,5,benign
2025-01-01,00:21:07,172.23.191.127,57482,88.156.37.81,443,tcp,https,POL-479,ESTABLISHED,allow,7.023,3434,6,benign
2025-01-01,00:21:23,172.19.247.122,57657,13.75.243.99,110,tcp,pop3,POL-933,ESTABLISHED,allow,11.642,4684,10,benign
2025-01-01,00:21:33,172.31.239.126,2542,128.226.79.128,53,udp,dns,POL-617,CLOSED,allow,0.452,439,1,dns_tunnel
2025-01-01,00:21:47,172.23.235.23,19750,216.168.173.121,443,tcp,https,POL-474,SYN_SENT,allow,0.054,3196,4,exfiltration
2025-01-01,00:21:59,192.168.73.226,51119,192.168.115.75,21,tcp,imap,POL-199,ESTABLISHED,allow,4.26,1813,2,benign
2025-01-01,00:22:11,10.50.245.118,3574,103.129.11.12,110,tcp,pop3,POL-252,ESTABLISHED,allow,2.975,1222,2,benign
2025-01-01,00:22:30,10.100.152.172,23068,190.216.77.152,3389,tcp,rdp,POL-439,ESTABLISHED,deny,6.979,345,1,brute_force
2025-01-01,00:22:33,177.162.7.153,38934,168.201.249.199,53,tcp,postgres,POL-893,ESTABLISHED,deny,7.794,993,2,ddos
2025-01-01,00:22:45,192.168.28.35,28087,113.81.108.39,6379,tcp,redis,POL-582,ESTABLISHED,allow,3.987,1430,2,benign
2025-01-01,00:22:46,192.168.122.119,60800,81.245.45.118,3306,tcp,mysql,POL-838,ESTABLISHED,allow,10.933,2322,3,benign
2025-01-01,00:23:06,10.71.108.247,20528,58.242.250.252,425,tcp,smtp,POL-914,ESTABLISHED,deny,7.167,40,1,port_scan
2025-01-01,00:23:14,172.29.24.19,3780,198.206.38.75,5432,tcp,postgres,POL-865,FIN_WAIT,allow,0.533,837,2,benign
2025-01-01,00:23:29,172.18.50.70,4350,190.151.62.63,3306,tcp,mysql,POL-202,ESTABLISHED,allow,8.626,2254,3,benign
2025-01-01,00:23:42,192.168.250.89,58590,105.168.240.226,1521,tcp,rdp,POL-392,SYN_ACK,allow,0.424,495,1,benign
2025-01-01,00:24:02,192.168.185.31,28410,10.234.236.45,443,tcp,https,POL-956,ESTABLISHED,allow,14.711,2782,7,benign
2025-01-01,00:24:14,75.225.10.3,22981,155.28.238.252,22,tcp,ssh,POL-237,ESTABLISHED,allow,7.506,3887,4,benign
2025-01-01,00:24:30,192.168.117.124,23116,184.48.4.189,53,udp,dns,POL-790,CLOSED,allow,0.11,404,1,benign
2025-01-01,00:24:36,192.168.83.244,13133,192.168.24.108,6379,tcp,redis,POL-492,FIN_WAIT,deny,0.29,122,1,benign
2025-01-01,00:24:43,192.168.146.169,46425,192.168.92.12,25,tcp,smtp,POL-802,SYN_ACK,allow,0.625,1268,1,benign
2025-01-01,00:24:59,192.168.234.136,63765,95.158.57.57,53,udp,dns,POL-565,CLOSED,allow,0.655,650,1,dns_tunnel
2025-01-01,00:25:18,192.168.205.80,50486,56.196.64.175,27017,tcp,mongodb,POL-470,ESTABLISHED,allow,1.682,1126,3,benign
2025-01-01,00:25:20,52.147.138.39,45607,219.134.114.30,53,udp,dns,POL-600,CLOSED,allow,0.002,141,1,dns_tunnel
2025-01-01,00:25:22,192.168.106.90,53906,15.144.119.173,22,tcp,ssh,POL-452,SYN_ACK,deny,0.221,114,1,brute_force
2025-01-01,00:25:24,172.16.129.253,43066,47.197.35.197,80,tcp,http,POL-559,FIN_WAIT,deny,0.383,189,1,benign
2025-01-01,00:25:36,35.168.221.90,48724,138.101.136.33,6379,tcp,redis,POL-574,ESTABLISHED,deny,17.418,1604,7,benign
2025-01-01,00:25:53,172.18.123.97,54073,186.196.29.9,143,tcp,imap,POL-116,ESTABLISHED,allow,3.031,1843,2,benign
2025-01-01,00:26:00,192.168.180.11,29791,63.190.12.103,443,tcp,https,POL-243,ESTABLISHED,allow,4.389,1848,4,benign
2025-01-01,00:26:16,172.25.61.87,20800,173.210.83.61,53,tcp,dns,POL-852,ESTABLISHED,deny,1.624,680,1,ddos
2025-01-01,00:26:21,172.31.16.189,46657,98.202.135.82,143,tcp,imap,POL-650,ESTABLISHED,allow,3.115,2313,6,benign
2025-01-01,00:26:36,172.30.162.200,28320,172.31.124.14,53,udp,dns,POL-497,CLOSED,allow,0.733,981,2,benign
2025-01-01,00:26:43,217.95.24.138,45173,49.14.69.97,110,tcp,pop3,POL-879,ESTABLISHED,allow,8.405,4928,20,benign
2025-01-01,00:27:01,172.20.217.220,64074,4.55.240.49,3306,tcp,mysql,POL-506,SYN_ACK,allow,0.887,679,1,benign
2025-01-01,00:27:08,172.20.239.77,7486,132.226.128.120,25,tcp,smtp,POL-308,ESTABLISHED,allow,10.052,5275,7,benign
2025-01-01,00:27:19,10.4.38.253,20369,150.149.185.107,80,tcp,http,POL-611,SYN_ACK,allow,0.134,701,1,benign
2025-01-01,00:27:36,172.31.118.210,49046,190.126.118.44,6379,tcp,redis,POL-655,SYN_ACK,allow,0.815,800,2,benign
2025-01-01,00:27:56,172.13.196.2,47369,216.162.60.18,443,tcp,https,POL-753,ESTABLISHED,allow,2.397,11253,15,exfiltration
2025-01-01,00:28:15,192.168.105.78,19029,192.168.184.226,53,udp,dns,POL-117,CLOSED,allow,0.064,344,1,dns_tunnel
2025-01-01,00:28:31,46.28.236.25,17566,62.50.159.135,548,tcp,redis,POL-678,ESTABLISHED,deny,10.002,40,1,port_scan
2025-01-01,00:28:38,10.167.91.58,27584,167.195.9.24,53,udp,dns,POL-819,CLOSED,deny,0.579,325,1,ddos
2025-01-01,00:28:43,10.229.17.10,57916,11.59.55.231,143,tcp,imap,POL-176,ESTABLISHED,allow,1.421,872,1,benign
2025-01-01,00:28:51,172.16.64.35,47732,151.37.193.211,22,tcp,ssh,POL-498,ESTABLISHED,deny,4.659,376,1,brute_force
2025-01-01,00:29:08,172.16.219.241,6005,10.214.179.98,8443,tcp,mongodb,POL-892,ESTABLISHED,allow,5.569,1467,1,benign
2025-01-01,00:29:18,10.91.22.114,39419,97.111.48.175,25,tcp,smtp,POL-352,ESTABLISHED,allow,5.567,3286,11,benign
2025-01-01,00:29:20,10.189.90.13,62821,93.28.24.2,22,tcp,ssh,POL-189,ESTABLISHED,allow,7.399,3620,6,benign
2025-01-01,00:29:25,10.22.241.67,22285,24.153.154.201,3306,tcp,mysql,POL-186,ESTABLISHED,allow,4.116,1896,8,benign
2025-01-01,00:29:42,172.18.182.72,5170,78.69.127.38,3389,tcp,rdp,POL-352,ESTABLISHED,deny,2.583,372,1,brute_force
2025-01-01,00:30:02,172.16.27.185,53719,86.216.159.98,5432,tcp,postgres,POL-980,ESTABLISHED,allow,1.197,1716,2,benign
2025-01-01,00:30:22,192.168.51.108,21939,46.247.102.248,53,udp,ssh,POL-433,CLOSED,allow,0.003,605,1,ddos
2025-01-01,00:30:34,52.152.140.47,31276,141.7.244.187,143,tcp,imap,POL-809,ESTABLISHED,deny,2.877,210,1,benign
2025-01-01,00:30:36,172.19.223.82,25730,40.184.109.203,982,tcp,imap,POL-808,ESTABLISHED,deny,2.141,40,1,port_scan
2025-01-01,00:30:49,192.168.163.96,44585,28.197.64.169,110,tcp,pop3,POL-760,ESTABLISHED,allow,4.865,2051,2,benign
2025-01-01,00:31:09,10.25.62.72,39068,131.192.133.143,110,tcp,pop3,POL-890,ESTABLISHED,allow,14.931,2270,5,benign
2025-01-01,00:31:27,10.75.161.115,48875,22.30.213.241,22,tcp,ssh,POL-633,ESTABLISHED,allow,19.568,3787,7,benign
2025-01-01,00:31:42,172.17.19.38,56675,208.182.30.6,443,tcp,https,POL-858,ESTABLISHED,allow,1.993,962,3,benign
2025-01-01,00:31:49,172.19.181.175,44101,162.48.48.164,3306,tcp,mysql,POL-104,SYN_ACK,allow,0.69,1069,4,benign
2025-01-01,00:31:55,10.204.172.48,31010,48.94.84.51,27017,tcp,mongodb,POL-711,FIN_WAIT,allow,0.824,1038,1,benign
2025-01-01,00:32:07,192.168.44.43,41294,181.205.77.236,53,tcp,postgres,POL-412,ESTABLISHED,allow,2.121,1067,1,benign
2025-01-01,00:32:10,10.147.38.126,46468,48.125.163.138,1433,tcp,mongodb,POL-243,ESTABLISHED,allow,3.212,1271,3,benign
2025-01-01,00:32:15,3.125.35.50,27837,144.130.168.127,3389,tcp,rdp,POL-131,FIN_WAIT,allow,0.209,644,1,benign
2025-01-01,00:32:22,172.25.12.232,8443,197.127.141.131,25,tcp,smtp,POL-475,ESTABLISHED,allow,1.633,1191,2,benign
2025-01-01,00:32:39,10.253.97.242,17246,189.213.168.193,67,tcp,http,POL-986,ESTABLISHED,deny,2.265,40,1,port_scan
2025-01-01,00:32:42,192.168.89.195,41404,157.162.110.43,53,udp,dns,POL-933,CLOSED,allow,0.234,467,1,benign
2025-01-01,00:32:48,192.168.43.27,18544,181.75.75.147,196,tcp,postgres,POL-987,ESTABLISHED,deny,12.683,40,1,port_scan
2025-01-01,00:33:08,10.194.239.239,42469,101.126.37.148,22,tcp,ssh,POL-913,ESTABLISHED,allow,1.621,1500,2,benign
2025-01-01,00:33:10,95.117.244.125,49043,1.223.199.217,27017,tcp,mongodb,POL-970,ESTABLISHED,allow,1.174,1372,2,benign
2025-01-01,00:33:12,10.126.165.164,38899,213.73.87.141,143,tcp,imap,POL-880,ESTABLISHED,allow,3.313,1162,1,benign
2025-01-01,00:33:13,10.237.239.81,63809,113.117.1.254,6379,tcp,redis,POL-995,ESTABLISHED,allow,6.881,3742,11,benign
2025-01-01,00:33:21,192.168.42.96,48602,192.168.78.54,110,tcp,pop3,POL-197,ESTABLISHED,allow,1.455,1413,3,benign
2025-01-01,00:33:21,172.16.38.11,8927,172.29.18.225,5900,tcp,https,POL-334,ESTABLISHED,deny,3.798,395,1,benign
2025-01-01,00:33:33,36.98.199.209,5507,35.165.174.37,53,tcp,https,POL-459,ESTABLISHED,allow,2.966,1089,5,benign
2025-01-01,00:33:39,172.29.194.105,39662,26.36.193.32,22,tcp,ssh,POL-243,ESTABLISHED,allow,2.368,1545,2,benign
2025-01-01,00:33:46,192.168.155.140,44173,177.7.218.217,443,tcp,https,POL-865,ESTABLISHED,allow,1.944,1104,2,benign
2025-01-01,00:33:58,10.126.176.247,5677,62.128.164.153,80,tcp,http,POL-235,ESTABLISHED,allow,11.06,2202,10,benign
2025-01-01,00:34:10,10.195.66.2,5449,198.19.5.151,22,tcp,ssh,POL-393,ESTABLISHED,deny,5.683,429,1,brute_force
2025-01-01,00:34:30,192.168.137.93,6202,40.72.22.80,143,tcp,imap,POL-434,ESTABLISHED,allow,3.851,2984,7,benign
2025-01-01,00:34:42,192.168.112.0,6674,217.62.15.63,6379,tcp,redis,POL-416,ESTABLISHED,deny,6.841,355,1,benign
2025-01-01,00:34:47,172.24.94.59,25394,211.185.67.43,8080,tcp,mongodb,POL-130,ESTABLISHED,allow,2.256,1338,2,benign
2025-01-01,00:34:57,192.168.160.166,24625,172.24.44.42,342,tcp,smtp,POL-790,ESTABLISHED,deny,4.229,40,1,port_scan
2025-01-01,00:35:00,172.21.210.218,57220,39.46.239.246,8080,tcp,mysql,POL-837,FIN_WAIT,allow,0.829,1111,1,benign
2025-01-01,00:35:10,192.168.230.230,34825,10.205.233.25,443,tcp,https,POL-892,SYN_ACK,deny,0.876,159,1,benign
2025-01-01,00:35:19,172.25.5.91,25159,190.160.63.119,3306,tcp,mysql,POL-850,ESTABLISHED,allow,11.354,2342,3,benign
